通常
	32864
		OT: OCG|TCG
		同名卡: 
		字段: 沉默剑士|LV
		卡片种类: 怪兽|效果
		属性: 光
		种族: 战士
		效果类型: 卡组检索|特殊召唤
		攻击力: 1000
		防御力: 1000
		星级: 3
	2009101
		卡名: 黑羽-疾风之盖尔
		密码: 2009101
		效果: ①：自己场上有「黑羽-疾风之盖尔」以外的「黑羽」怪兽存在的场合，这张卡可以从手卡特殊召唤。\r\n②：1回合1次，以对方场上1只表侧表示怪兽为对象才能发动。那只对方怪兽的攻击力·守备力变成一半。
		OT: OCG|TCG
		同名卡: 
		字段: 黑羽
		卡片种类: 怪兽|效果|调整
		属性: 暗
		种族: 鸟兽
		效果类型: 攻守变化|特殊召唤
		攻击力: 1300
		防御力: 400
		星级: 3
	2067935
		卡名: 剑斗兽 教斗
		密码: 2067935
		效果: 这张卡用名字带有「剑斗兽」的怪兽的效果特殊召唤成功时，选择自己墓地存在的1只名字带有「剑斗兽」的怪兽才能发动。选择的怪兽从游戏中除外，直到结束阶段时当作和那只怪兽同名卡使用。这张卡进行战斗的战斗阶段结束时可以让这张卡回到卡组，从卡组把「剑斗兽 教斗」以外的1只名字带有「剑斗兽」的怪兽在自己场上特殊召唤。
		OT: OCG|TCG
		同名卡: 
		字段: 剑斗兽
		卡片种类: 怪兽|效果
		属性: 风
		种族: 鸟兽
		效果类型: 卡片除外|卡组检索|特殊召唤
		攻击力: 1800
		防御力: 1200
		星级: 4
	2088870
		卡名: 维多利异虫
		密码: 2088870
		效果: 反转：名字带有「异虫」的爬虫族怪兽以外的场上表侧表示存在的怪兽全部破坏。这张卡的攻击力上升自己墓地存在的名字带有「异虫」的爬虫族怪兽数量×500的数值。
		OT: OCG|TCG
		同名卡: 
		字段: 异虫
		卡片种类: 怪兽|效果|反转
		属性: 光
		种族: 爬虫
		效果类型: 攻守变化|种族相关
		攻击力: 0
		防御力: 2500
		星级: 7
	2095764
		卡名: 水龙星-赑屃
		密码: 2095764
		效果: 「水龙星-赑屃」的①的效果1回合只能使用1次。\r\n①：自己场上的这张卡被战斗·效果破坏送去墓地时才能发动。从卡组把「水龙星-赑屃」以外的1只「龙星」怪兽攻击表示特殊召唤。\r\n②：1回合1次，对方的主要阶段以及战斗阶段才能发动。只用自己场上的「龙星」怪兽为同调素材作同调召唤。\r\n③：这张卡为同调素材的同调怪兽不受陷阱卡的效果影响。
		OT: OCG|TCG
		同名卡: 
		字段: 龙星
		卡片种类: 怪兽|效果
		属性: 水
		种族: 幻龙
		效果类型: 特殊召唤|效果耐性
		攻击力: 0
		防御力: 2000
		星级: 2
	2134346
		卡名: 阿修罗
		密码: 2134346
		效果: 这张卡不能特殊召唤。召唤·反转回合的结束阶段时回到主人的手卡。可以对对方场上的全部怪兽攻击1次。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果|灵魂
		属性: 光
		种族: 天使
		效果类型: 返回卡组|多次攻击
		攻击力: 1700
		防御力: 1200
		星级: 4
	2137678
		卡名: 机皇兵 神陆一型
		密码: 2137678
		效果: 这张卡的攻击力上升这张卡以外的场上表侧表示存在的名字带有「机皇」的怪兽数量×100的数值。这张卡召唤成功时，可以选择对方场上表侧表示存在的1只怪兽，那只怪兽的攻击力直到结束阶段时变成一半。
		OT: OCG|TCG
		同名卡: 
		字段: 机皇兵
		卡片种类: 怪兽|效果
		属性: 地
		种族: 机械
		效果类型: 攻守变化
		攻击力: 1600
		防御力: 1200
		星级: 4
	2158562
		卡名: 电子化女主角
		密码: 2158562
		效果: ①：这张卡上级召唤成功的场合发动。场上的表侧表示的魔法卡全部破坏。
		OT: OCG|TCG
		同名卡: 
		字段: 电子
		卡片种类: 怪兽|效果
		属性: 光
		种族: 战士
		效果类型: 魔陷破坏
		攻击力: 2300
		防御力: 1600
		星级: 6
	2196767
		卡名: 传说的赌博师
		密码: 2196767
		效果: 进行3次投掷硬币。\r\n●3次都是表的场合，对方场上怪兽全部破坏。\r\n●2次表的场合，对方手卡随机丢弃1张。\r\n●1次表的场合，自己场上存在的1张卡破坏。\r\n●3次都是里的场合，自己手卡全部丢弃。\r\n这个效果1回合只有1次在自己的主要阶段才能使用。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果
		属性: 暗
		种族: 魔法师
		效果类型: 怪兽破坏|手卡破坏|幸运
		攻击力: 500
		防御力: 1400
		星级: 4
	2204038
		卡名: 女武神·布伦希尔德
		密码: 2204038
		效果: 这张卡不受对方的魔法卡的效果影响。这张卡的攻击力上升对方场上的怪兽数量×500。对方怪兽的攻击宣言时：可以让这张卡的守备力下降1000，这个回合自己的「女武神」怪兽不会被战斗破坏。
		OT: TCG
		同名卡: 
		字段: 女武神
		卡片种类: 怪兽|效果
		属性: 光
		种族: 天使
		效果类型: 攻守变化|破坏耐性
		攻击力: 1800
		防御力: 2000
		星级: 7
	2250266
		卡名: 变形斗士·订书机
		密码: 2250266
		效果: 这张卡得到这张卡的表示形式的以下效果。\r\n●攻击表示：只要这张卡在场上表侧表示存在，对方不能选择其他怪兽作为攻击对象。这张卡被战斗破坏的场合，把让这张卡破坏的怪兽的攻击力下降300。\r\n●守备表示：这张卡不会被战斗破坏。这张卡被攻击的场合，那次伤害计算后选择对方场上表侧攻击表示存在的1只怪兽变成守备表示，这张卡的表示形式变成攻击表示。
		OT: OCG|TCG
		同名卡: 
		字段: 变形斗士
		卡片种类: 怪兽|效果
		属性: 地
		种族: 机械
		效果类型: 表示形式|攻守变化|攻击限制|破坏耐性
		攻击力: 1400
		防御力: 1000
		星级: 4
	2273734
		卡名: 星因士 河鼓二
		密码: 2273734
		效果: 「星因士 河鼓二」的效果1回合只能使用1次。\r\n①：这张卡召唤·反转召唤·特殊召唤成功的场合，以「星因士 河鼓二」以外的自己墓地1只「星守」怪兽为对象才能发动。那只怪兽守备表示特殊召唤。这个效果的发动后，直到回合结束时「星守」怪兽以外的自己场上的怪兽不能攻击。
		OT: OCG|TCG
		同名卡: 
		字段: 星守
		卡片种类: 怪兽|效果
		属性: 光
		种族: 战士
		效果类型: 攻击限制|特殊召唤
		攻击力: 1700
		防御力: 1300
		星级: 4
	2316186
		卡名: 魔法之国的王女-库兰
		密码: 2316186
		效果: 这张卡不能通常召唤。这张卡只能通过「王女的试炼」的效果才能特殊召唤。自己准备阶段时，给与对方基本分对方场上存在的怪兽数量×600分数值的伤害。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果|特殊召唤
		属性: 暗
		种族: 魔法师
		效果类型: LP伤害
		攻击力: 2000
		防御力: 0
		星级: 4
	2326738
		卡名: 死亡骆驼
		密码: 2326738
		效果: ①：自己主要阶段才能发动。这张卡变成里侧守备表示（1回合只有1次）。\r\n②：这张卡反转召唤成功的场合发动。自己从卡组抽1张。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果
		属性: 地
		种族: 不死
		效果类型: 抽卡辅助|表示形式
		攻击力: 500
		防御力: 600
		星级: 3
	2333365
		卡名: 极星将 提尔
		密码: 2333365
		效果: 场上没有这张卡以外的名字带有「极星」的怪兽表侧表示存在的场合，这张卡破坏。只要这张卡在场上表侧表示存在，对方不能选择「极星将 提尔」以外的名字带有「极星」的怪兽作为攻击对象。
		OT: OCG|TCG
		同名卡: 
		字段: 极星
		卡片种类: 怪兽|效果
		属性: 光
		种族: 战士
		效果类型: 攻击限制
		攻击力: 2000
		防御力: 2000
		星级: 4
	2347477
		卡名: 微码编码员
		密码: 2347477
		效果: 这个卡名的①②的效果1回合各能使用1次。\r\n①：把自己场上的电子界族怪兽作为「码语者」怪兽的连接素材的场合，手卡的这张卡也能作为连接素材。\r\n②：这张卡作为「码语者」怪兽的连接素材从手卡·场上送去墓地的场合才能发动。从卡组把1张「电脑网」魔法·陷阱卡加入手卡。场上的这张卡为素材的场合可以把那1张改成1只电子界族·4星怪兽。
		OT: OCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果
		属性: 暗
		种族: 电子界
		效果类型: 表示形式|攻守变化|特殊召唤
		攻击力: 300
		防御力: 0
		星级: 1
	2356994
		卡名: 伟大天狗
		密码: 2356994
		效果: 这张卡不能特殊召唤。召唤·反转回合的结束阶段时回到主人的手卡。这张卡给与对方玩家战斗伤害的场合，跳过下次的对方回合的战斗阶段。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果|灵魂
		属性: 暗
		种族: 兽战士
		效果类型: 返回手卡
		攻击力: 1900
		防御力: 1700
		星级: 5
	2377034
		卡名: 新炎狱刺猬
		密码: 2377034
		效果: 这张卡被战斗破坏的场合，选择对方墓地存在的1张卡从游戏中除外。场上存在的这张卡被卡的效果破坏的场合，选择自己墓地存在的「新炎狱刺猬」以外的1只守备力200以下的炎属性怪兽加入手卡。
		OT: OCG|TCG
		同名卡: 
		字段: 炎狱
		卡片种类: 怪兽|效果|调整
		属性: 炎
		种族: 炎
		效果类型: 卡片除外|卡片回收
		攻击力: 800
		防御力: 200
		星级: 3
	2407147
		卡名: 熔岩炎火山的侍女
		密码: 2407147
		效果: 自己墓地有「熔岩炎火山的侍女」以外的名字带有「熔岩」的怪兽存在的场合这张卡被送去墓地时，可以从自己卡组把1只名字带有「熔岩」的怪兽送去墓地。
		OT: OCG|TCG
		同名卡: 
		字段: 熔岩
		卡片种类: 怪兽|效果|调整
		属性: 炎
		种族: 炎
		效果类型: 送去墓地
		攻击力: 100
		防御力: 200
		星级: 1
	2414168
		卡名: 中断反抗军
		密码: 2414168
		效果: ①：自己受到战斗伤害时才能发动。这张卡从手卡特殊召唤。这个效果特殊召唤的这张卡的攻击力上升受到的伤害的数值。\r\n②：1回合1次，这张卡以外的自己的守备表示怪兽被对方怪兽攻击的伤害计算时才能发动。那只自己怪兽只在那次伤害计算时变成和这张卡相同守备力，不会被那次战斗破坏。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果
		属性: 光
		种族: 电子界
		效果类型: 攻守变化|特殊召唤|破坏耐性
		攻击力: 0
		防御力: 2100
		星级: 6
	2420921
		卡名: 光道精灵 夏尔
		密码: 2420921
		效果: 墓地中每有1种名字带有「光道」的怪兽卡，这张卡的攻击力就上升300。每次自己的结束阶段时，将自己卡组最上方的2张卡送去墓地。
		OT: OCG|TCG
		同名卡: 
		字段: 光道
		卡片种类: 怪兽|效果
		属性: 光
		种族: 天使
		效果类型: 送去墓地|卡组破坏|攻守变化
		攻击力: 400
		防御力: 1400
		星级: 3
	2460565
		卡名: 冲锋陷阵的队长
		密码: 2460565
		效果: ①：这张卡召唤成功时才能发动。从手卡把1只4星以下的怪兽特殊召唤。\r\n②：只要这张卡在怪兽区域存在，对方不能选择其他的战士族怪兽作为攻击对象。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果
		属性: 地
		种族: 战士
		效果类型: 攻击限制|特殊召唤|种族相关
		攻击力: 1200
		防御力: 400
		星级: 3
	2461031
		卡名: 甲虫装机 瓢虫
		密码: 2461031
		效果: 1回合1次，可以从自己的手卡·墓地把1只名字带有「甲虫装机」的怪兽当作装备卡使用给这张卡装备。这张卡当作装备卡使用而装备中的场合，装备怪兽的等级上升2星，攻击力·守备力上升这张卡的各自数值。此外，可以把当作装备卡使用而装备中的这张卡送去墓地，选择自己场上1只怪兽，等级上升最多2星。
		OT: OCG|TCG
		同名卡: 
		字段: 甲虫装机
		卡片种类: 怪兽|效果
		属性: 暗
		种族: 昆虫
		效果类型: 攻守变化
		攻击力: 500
		防御力: 100
		星级: 2
	2511717
		卡名: 真六武众-阴鬼
		密码: 2511717
		效果: 这张卡召唤成功时，可以从手卡把1只4星以下的名字带有「六武众」的怪兽特殊召唤。只要自己场上有「真六武众-阴鬼」以外的名字带有「六武众」的怪兽表侧表示存在，这张卡的攻击力上升1500。
		OT: OCG|TCG
		同名卡: 
		字段: 六武众
		卡片种类: 怪兽|效果
		属性: 风
		种族: 战士
		效果类型: 攻守变化|特殊召唤
		攻击力: 200
		防御力: 2000
		星级: 3
	2521011
		卡名: 威炎星-飞燕灼
		密码: 2521011
		效果: 这张卡可以把自己场上表侧表示存在的3张名字带有「炎舞」的魔法·陷阱卡送去墓地，从手卡特殊召唤。这张卡召唤·特殊召唤成功时，可以从卡组选1张名字带有「炎舞」的陷阱卡在自己场上盖放。「威炎星-飞燕灼」的这个效果1回合只能使用1次。此外，只要这张卡在场上表侧表示存在，自己场上的兽战士族怪兽不会成为对方的卡的效果的对象。
		OT: OCG|TCG
		同名卡: 
		字段: 炎星
		卡片种类: 怪兽|效果
		属性: 炎
		种族: 兽战士
		效果类型: 卡组检索|特殊召唤|破坏耐性|效果耐性
		攻击力: 2000
		防御力: 800
		星级: 5
	2525268
		卡名: 魔导骑士 防御者
		密码: 2525268
		效果: 这张卡召唤成功时，给这张卡放置1个魔力指示物（最多1个）。场上表侧表示存在的魔法师族怪兽被破坏的场合，可以作为代替每有1只破坏的魔法师族怪兽把自己场上存在的1个魔力指示物取除。这个效果1回合只能使用1次。
		OT: OCG|TCG
		同名卡: 
		字段: 魔导
		卡片种类: 怪兽|效果
		属性: 光
		种族: 魔法师
		效果类型: 破坏耐性|指示物
		攻击力: 1600
		防御力: 2000
		星级: 4
	2584136
		卡名: 章鲨
		密码: 2584136
		效果: 这张卡被和对方怪兽的战斗破坏送去墓地时，可以把这张卡当作装备卡使用给那只对方怪兽装备。用这个效果把这张卡装备的怪兽攻击力变成0，不能把表示形式变更。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果
		属性: 水
		种族: 鱼
		效果类型: 攻守变化|效果无效
		攻击力: 1600
		防御力: 800
		星级: 4
	2602411
		卡名: 破坏剑-魔法破坏之剑
		密码: 2602411
		效果: ①：自己主要阶段以自己场上1只「巴斯达·布雷达」为对象才能发动。从自己的手卡·场上把这只怪兽当作装备卡使用给那只自己怪兽装备。\r\n②：这张卡装备中的场合，对方不能把墓地的怪兽的效果发动。\r\n③：把装备的这张卡送去墓地，以「破坏剑-魔法破坏之剑」以外的自己墓地1只「破坏剑」怪兽为对象才能发动。那只怪兽加入手卡。
		OT: OCG|TCG
		同名卡: 
		字段: 破坏剑
		卡片种类: 怪兽|效果
		属性: 暗
		种族: 魔法师
		效果类型: 返回手卡|卡片回收
		攻击力: 1200
		防御力: 900
		星级: 3
	2618045
		卡名: 光子充能人
		密码: 2618045
		效果: 1回合1次，自己的主要阶段时才能发动。这张卡的攻击力直到下次的自己的准备阶段时变成原本攻击力的2倍。这个效果发动的回合，这张卡不能攻击。
		OT: OCG|TCG
		同名卡: 
		字段: 光子
		卡片种类: 怪兽|效果
		属性: 光
		种族: 战士
		效果类型: 攻守变化
		攻击力: 1000
		防御力: 1000
		星级: 4
	2619149
		卡名: 剑斗兽 盾斗
		密码: 2619149
		效果: 这张卡用名字带有「剑斗兽」的怪兽的效果特殊召唤成功的场合，这张卡战斗破坏对方怪兽送去墓地时，可以从自己卡组把1张名字带有「剑斗兽」的卡加入手卡。这张卡进行战斗的战斗阶段结束时可以让这张卡回到卡组，从卡组把「剑斗兽 盾斗」以外的1只名字带有「剑斗兽」的怪兽在自己场上特殊召唤。
		OT: OCG|TCG
		同名卡: 
		字段: 剑斗兽
		卡片种类: 怪兽|效果
		属性: 地
		种族: 兽
		效果类型: 卡组检索|特殊召唤
		攻击力: 1600
		防御力: 1200
		星级: 3
	2648201
		卡名: 异热同心武器-极星神马圣铠
		密码: 2648201
		效果: 自己的主要阶段时，手卡或者自己场上的这只怪兽可以当作攻击力上升1000的装备卡使用给自己场上的名字带有「希望皇 霍普」的怪兽装备。装备怪兽被对方破坏让这张卡被送去墓地时，可以选择自己墓地1只名字带有「希望皇 霍普」的怪兽特殊召唤。「异热同心武器-极星神马圣铠」在自己场上只能有1张表侧表示存在。
		OT: OCG|TCG
		同名卡: 
		字段: 异热同心武器
		卡片种类: 怪兽|效果
		属性: 光
		种族: 兽
		效果类型: 攻守变化|特殊召唤
		攻击力: 1000
		防御力: 1000
		星级: 4
	2671330
		卡名: 超级槌首龙
		密码: 2671330
		效果: 与这张卡进行战斗且未被破坏的对方怪兽，在伤害步骤终了时弹回其持有者手卡。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果
		属性: 地
		种族: 恐龙
		效果类型: 返回手卡
		攻击力: 1500
		防御力: 1200
		星级: 4
	2694423
		卡名: 美杜莎异虫
		密码: 2694423
		效果: 这张卡1个回合1次可以变成里侧守备表示。这张卡反转召唤成功时，对方场上1只怪兽破坏。
		OT: OCG|TCG
		同名卡: 
		字段: 异虫
		卡片种类: 怪兽|效果
		属性: 地
		种族: 岩石
		效果类型: 怪兽破坏|表示形式
		攻击力: 500
		防御力: 600
		星级: 2
	2729285
		卡名: 毛绒动物·猫
		密码: 2729285
		效果: 「毛绒动物·猫」的效果1回合只能使用1次。\r\n①：这张卡成为融合召唤的素材送去墓地的场合，以自己墓地1张「融合」为对象才能发动。那张卡加入手卡。
		OT: OCG|TCG
		同名卡: 
		字段: 毛绒动物
		卡片种类: 怪兽|效果
		属性: 地
		种族: 天使
		效果类型: 卡片回收
		攻击力: 700
		防御力: 300
		星级: 1
	2732323
		卡名: 诱饵龙
		密码: 2732323
		效果: ①：这张卡被选择作为攻击对象的场合，以自己墓地1只7星以上的龙族怪兽为对象发动。那只怪兽特殊召唤，攻击对象转移为那只怪兽进行伤害计算。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果
		属性: 炎
		种族: 龙
		效果类型: 特殊召唤|种族相关
		攻击力: 300
		防御力: 200
		星级: 2
	2792265
		卡名: 异形的从者
		密码: 2792265
		效果: 这张卡可以直接攻击对方玩家。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果
		属性: 光
		种族: 水
		效果类型: 直接攻击
		攻击力: 700
		防御力: 500
		星级: 3
	2810642
		卡名: PSY骨架装备·β
		密码: 2810642
		效果: 这张卡不能通常召唤，用卡的效果才能特殊召唤。\r\n①：自己场上没有怪兽存在，对方怪兽的攻击宣言时才能发动。选手卡的这张卡和自己的手卡·卡组·墓地1只「PSY骨架驱动者」特殊召唤，那只攻击怪兽破坏。那之后，战斗阶段结束。这个效果特殊召唤的怪兽全部在结束阶段除外。
		OT: OCG|TCG
		同名卡: 
		字段: PSY骨架
		卡片种类: 怪兽|效果|调整|特殊召唤
		属性: 光
		种族: 念动力
		效果类型: 怪兽破坏|特殊召唤
		攻击力: 700
		防御力: 0
		星级: 1
	2830693
		卡名: 彩虹栗子球
		密码: 2830693
		效果: 「彩虹栗子球」的①②的效果1回合各能使用1次。\r\n①：对方怪兽的攻击宣言时，以那1只攻击怪兽为对象才能发动。这张卡从手卡当作装备卡使用给那只怪兽装备。装备怪兽不能攻击。\r\n②：这张卡在墓地存在的场合，对方怪兽的直接攻击宣言时才能发动。这张卡从墓地特殊召唤。这个效果特殊召唤的这张卡从场上离开的场合除外。
		OT: OCG|TCG
		同名卡: 
		字段: 栗子球
		卡片种类: 怪兽|效果
		属性: 光
		种族: 恶魔
		效果类型: 攻击限制|特殊召唤
		攻击力: 100
		防御力: 100
		星级: 1
	2843014
		卡名: 迅捷翻车鱼
		密码: 2843014
		效果: 这张卡被战斗破坏送去墓地时，从自己卡组把1只鱼族怪兽送去墓地。那之后，可以从自己卡组把1只「迅捷翻车鱼」特殊召唤。
		OT: OCG|TCG
		同名卡: 
		字段: 迅捷
		卡片种类: 怪兽|效果
		属性: 水
		种族: 鱼
		效果类型: 送去墓地|特殊召唤|种族相关
		攻击力: 1000
		防御力: 100
		星级: 2
	2851070
		卡名: 魔镜导士 限界反射者
		密码: 2851070
		效果: 攻击表示的这张卡被对方怪兽攻击的场合，对方受到数值与攻击怪兽攻击力相同的伤害。战斗伤害计算后，这张卡被破坏。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果
		属性: 光
		种族: 机械
		效果类型: LP伤害
		攻击力: 1700
		防御力: 1000
		星级: 4
	2948263
		卡名: 隆隆隆石人-黄金形态
		密码: 2948263
		效果: 这张卡不能通常召唤。把自己场上1只名字带有「隆隆隆」的怪兽解放的场合才能特殊召唤。这张卡的攻击力变成解放的那只怪兽的原本攻击力2倍的数值。这张卡的战斗发生的对对方的战斗伤害变成一半。此外，1回合1次，对方场上有效果怪兽的效果发动时发动。这张卡的攻击力下降1500，那个效果无效。
		OT: OCG|TCG
		同名卡: 
		字段: 隆隆隆
		卡片种类: 怪兽|效果|特殊召唤
		属性: 地
		种族: 岩石
		效果类型: 攻守变化|特殊召唤|效果无效
		攻击力: ?
		防御力: 1500
		星级: 4
	2980764
		卡名: 神圣之灯
		密码: 2980764
		效果: 这张卡不会被和暗属性怪兽的战斗破坏，那次战斗发生的对自己的战斗伤害变成0。只要这张卡在场上表侧表示存在，暗属性怪兽不能攻击宣言，双方不能把暗属性怪兽召唤·特殊召唤。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果
		属性: 光
		种族: 天使
		效果类型: 攻击限制|属性相关|破坏耐性
		攻击力: 0
		防御力: 0
		星级: 1
	2986553
		卡名: 夜蔷薇之骑士
		密码: 2986553
		效果: 只要这张卡在场上表侧表示存在，对方不能选择植物族怪兽作为攻击对象。这张卡召唤成功时，可以从手卡把1只4星以下的植物族怪兽特殊召唤。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果|调整
		属性: 暗
		种族: 战士
		效果类型: 攻击限制|特殊召唤
		攻击力: 1000
		防御力: 1000
		星级: 3
	3019642
		卡名: 电子暗黑龙骨
		密码: 3019642
		效果: ①：这张卡召唤成功的场合，以自己墓地1只3星以下的龙族怪兽为对象发动。那只龙族怪兽当作装备卡使用给这张卡装备。\r\n②：这张卡的攻击力上升这张卡的效果装备的怪兽的原本攻击力数值。\r\n③：这张卡战斗破坏对方怪兽的场合发动。给与对方300伤害。\r\n④：这张卡被战斗破坏的场合，作为代替把这张卡的效果装备的怪兽破坏。
		OT: OCG|TCG
		同名卡: 
		字段: 电子暗黑
		卡片种类: 怪兽|效果
		属性: 暗
		种族: 机械
		效果类型: 攻守变化|种族相关|LP伤害|破坏耐性
		攻击力: 800
		防御力: 800
		星级: 4
	3026686
		卡名: 女武神三女
		密码: 3026686
		效果: 这张卡召唤·特殊召唤成功的场合：可以从卡组把「女武神三女」以外的1张「女武神」卡加入手卡。「女武神三女」的这个效果1回合只能使用1次。这张卡的攻击力上升除外的对方的怪兽数量×200。
		OT: TCG
		同名卡: 
		字段: 女武神
		卡片种类: 怪兽|效果
		属性: 光
		种族: 天使
		效果类型: 卡组检索|攻守变化
		攻击力: 1000
		防御力: 1600
		星级: 4
	3030892
		卡名: 奴隶猿
		密码: 3030892
		效果: 这张卡被战斗破坏送去墓地时，可以从卡组把1只名字带有「剑斗兽」的4星以下怪兽在自己场上特殊召唤。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果
		属性: 地
		种族: 兽
		效果类型: 卡组检索|特殊召唤
		攻击力: 700
		防御力: 300
		星级: 2
	3056267
		卡名: 王座侵略者
		密码: 3056267
		效果: 反转：选择对方场上存在的1只怪兽，那只怪兽和这张卡的控制权交换。这个效果在战斗阶段不能发动。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果|反转
		属性: 地
		种族: 战士
		效果类型: 控制权
		攻击力: 1350
		防御力: 1700
		星级: 4
	3064425
		卡名: 超重武者装留 爆炎
		密码: 3064425
		效果: ①：自己主要阶段以自己场上1只「超重武者」怪兽为对象才能发动。自己的手卡·场上的这只怪兽当作守备力上升1000的装备卡使用给那只怪兽装备。\r\n②：自己场上有守备表示的「超重武者」怪兽存在，对方在战斗阶段把魔法·陷阱·怪兽的效果发动时，把墓地的这张卡除外才能发动。那个发动无效并破坏。那之后，场上的怪兽全部破坏，双方玩家受到1000伤害。
		OT: OCG|TCG
		同名卡: 
		字段: 超重武者装留
		卡片种类: 怪兽|效果
		属性: 地
		种族: 机械
		效果类型: 
		攻击力: 1000
		防御力: 1000
		星级: 3
	3070049
		卡名: 雪龙
		密码: 3070049
		效果: 这张卡被战斗或者卡的效果破坏送去墓地时，给场上表侧表示存在的全部怪兽放置1个冰指示物。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果
		属性: 水
		种族: 龙
		效果类型: 指示物
		攻击力: 1400
		防御力: 900
		星级: 4
	3072077
		卡名: 回归僵尸
		密码: 3072077
		效果: 自己的准备阶段时，这张卡在墓地存在并且自己手卡是0张的场合，可以支付500基本分把这张卡加入手卡。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果
		属性: 暗
		种族: 不死
		效果类型: 返回手卡
		攻击力: 1000
		防御力: 1600
		星级: 4
	3072808
		卡名: 黑羽-天狗风之飞廉
		密码: 3072808
		效果: 这张卡在墓地存在，对方怪兽的直接攻击让自己受到2000以上的战斗伤害时，选择自己墓地存在的1只名字带有「黑羽」的3星以下的怪兽发动。选择的怪兽和这张卡从墓地特殊召唤。这个效果特殊召唤的怪兽的效果无效化。「黑羽-天狗风之飞廉」的效果在决斗中只能使用1次。
		OT: OCG|TCG
		同名卡: 
		字段: 黑羽
		卡片种类: 怪兽|效果|调整
		属性: 暗
		种族: 鸟兽
		效果类型: 卡片回收|特殊召唤
		攻击力: 0
		防御力: 2300
		星级: 5
	3078576
		卡名: 八汰乌
		密码: 3078576
		效果: 这张卡不能特殊召唤。召唤·反转的回合的结束阶段时回到主人的手卡。这张卡给与对方玩家战斗伤害的场合，跳过下次的对方的回合的抽卡阶段。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果|灵魂
		属性: 风
		种族: 恶魔
		效果类型: 返回卡组
		攻击力: 200
		防御力: 100
		星级: 2
	3096468
		卡名: 尸龙子
		密码: 3096468
		效果: 通常召唤的这张卡为素材作同调召唤的场合，手卡1只怪兽也能作为同调素材。那个时候的同调素材怪兽不去墓地而除外。\r\n①：只要这张卡在怪兽区域存在，自己不是不死族怪兽不能特殊召唤。
		OT: OCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果|调整
		属性: 暗
		种族: 不死
		效果类型: 
		攻击力: 500
		防御力: 1700
		星级: 3
	3111207
		卡名: 彩宝龙
		密码: 3111207
		效果: 这个卡名的①②的效果1回合只能有1次使用其中任意1个。\r\n①：这张卡从卡组加入手卡的场合，把这张卡给对方观看才能发动。这张卡特殊召唤。\r\n②：这张卡因效果从自己墓地加入手卡的场合，把这张卡给对方观看才能发动。这张卡特殊召唤。这个效果特殊召唤的这张卡从场上离开的场合除外。
		OT: OCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|效果|调整
		属性: 水
		种族: 海龙
		效果类型: 卡片除外|特殊召唤
		攻击力: 0
		防御力: 2600
		星级: 5
	3117804
		卡名: 超重武者 大弁庆-K
		密码: 3117804
		效果: ①：这张卡召唤·特殊召唤成功时才能发动。这张卡的表示形式变更。\r\n②：只要这张卡在怪兽区域存在，自己场上的「超重武者」怪兽可以用表侧守备表示的状态作出攻击。那个场合，那怪兽用守备力当作攻击力使用进行伤害计算。
		OT: OCG|TCG
		同名卡: 
		字段: 超重武者
		卡片种类: 怪兽|效果
		属性: 地
		种族: 机械
		效果类型: 表示形式
		攻击力: 1000
		防御力: 3500
		星级: 8
	3167573
		卡名: 人偶国王
		密码: 3167573
		效果: ①：对方用抽卡以外的方法从卡组把怪兽加入手卡时才能发动。这张卡从手卡特殊召唤。\r\n②：这张卡用这张卡的①的效果特殊召唤成功的场合，下次的自己回合的结束阶段发动。这张卡破坏。
		OT: OCG|TCG
		同名卡: 
		字段: 
