通常
	卡名: 第13人的埋葬者
	OT: OCG|TCG
	同名卡: 欧贝利斯克之巨神兵
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 怪兽破坏|送去墓地|效果耐性
	属性: 神
	种族: 幻神兽
	攻击力: 4000
	防御力: 4000
	星级: 10

	卡名: 太阳神之翼神龙
	密码: 10000010
	描述: 这张卡不能特殊召唤。这张卡通常召唤的场合，必须把3只解放作召唤。
①：这张卡的召唤不会被无效化。
②：在这张卡的召唤成功时，这张卡以外的魔法·陷阱·怪兽的效果不能发动。
③：这张卡召唤成功时，把基本分支付到变成100基本分才能发动。这张卡的攻击力·守备力上升支付的数值。
④：支付1000基本分，以场上1只怪兽为对象才能发动。那只怪兽破坏。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 怪兽破坏|送去墓地|攻守变化
	属性: 神
	种族: 幻神兽
	攻击力: ?
	防御力: ?
	星级: 10

	卡名: 太阳神之翼神龙
	密码: 10000011
	描述: 这张卡不能特殊召唤。这张卡通常召唤的场合，必须把3只解放作召唤。
①：这张卡的召唤不会被无效化。
②：在这张卡的召唤成功时，这张卡以外的魔法·陷阱·怪兽的效果不能发动。
③：这张卡召唤成功时，把基本分支付到变成100基本分才能发动。这张卡的攻击力·守备力上升支付的数值。
④：支付1000基本分，以场上1只怪兽为对象才能发动。那只怪兽破坏。
	OT: OCG|TCG
	同名卡: 太阳神之翼神龙
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 怪兽破坏|送去墓地|攻守变化
	属性: 神
	种族: 幻神兽
	攻击力: ?
	防御力: ?
	星级: 10

	卡名: 奥西里斯之天空龙
	密码: 10000020
	描述: 这张卡通常召唤的场合，必须把3只解放作召唤。
①：这张卡的召唤不会被无效化。
②：在这张卡的召唤成功时，魔法·陷阱·怪兽的效果不能发动。
③：这张卡的攻击力·守备力上升自己手卡数量×1000。
④：对方怪兽攻击表示召唤·特殊召唤成功的场合发动。那些怪兽的攻击力下降2000，变成0的场合那怪兽破坏。
⑤：这张卡特殊召唤的场合，结束阶段发动。这张卡送去墓地。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 送去墓地|攻守变化
	属性: 神
	种族: 幻神兽
	攻击力: ?
	防御力: ?
	星级: 10

	卡名: 奥西里斯之天空龙
	密码: 10000021
	描述: 这张卡通常召唤的场合，必须把3只解放作召唤。
①：这张卡的召唤不会被无效化。
②：在这张卡的召唤成功时，魔法·陷阱·怪兽的效果不能发动。
③：这张卡的攻击力·守备力上升自己手卡数量×1000。
④：对方怪兽攻击表示召唤·特殊召唤成功的场合发动。那些怪兽的攻击力下降2000，变成0的场合那怪兽破坏。
⑤：这张卡特殊召唤的场合，结束阶段发动。这张卡送去墓地。
	OT: OCG|TCG
	同名卡: 奥西里斯之天空龙
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 送去墓地|攻守变化
	属性: 神
	种族: 幻神兽
	攻击力: ?
	防御力: ?
	星级: 10

	卡名: 奥西里斯之天空龙
	密码: 10000022
	描述: 这张卡通常召唤的场合，必须把3只解放作召唤。
①：这张卡的召唤不会被无效化。
②：在这张卡的召唤成功时，魔法·陷阱·怪兽的效果不能发动。
③：这张卡的攻击力·守备力上升自己手卡数量×1000。
④：对方怪兽攻击表示召唤·特殊召唤成功的场合发动。那些怪兽的攻击力下降2000，变成0的场合那怪兽破坏。
⑤：这张卡特殊召唤的场合，结束阶段发动。这张卡送去墓地。
	OT: OCG|TCG
	同名卡: 奥西里斯之天空龙
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 送去墓地|攻守变化
	属性: 神
	种族: 幻神兽
	攻击力: ?
	防御力: ?
	星级: 10

	卡名: 光之创造神 哈拉克提
	密码: 10000040
	描述: 这张卡不能通常召唤。把自己场上的原本卡名是「奥西里斯之天空龙」「欧贝利斯克之巨神兵」「太阳神之翼神龙」的怪兽各1只解放的场合才能特殊召唤。这张卡的特殊召唤不会被无效化。把这张卡特殊召唤的玩家决斗胜利。
	OT: OCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果|特殊召唤
	效果类型: 
	属性: 神
	种族: 创造神
	攻击力: ?
	防御力: ?
	星级: 12

	卡名: 太阳神之翼神龙-球体形
	密码: 10000080
	描述: 这张卡不能特殊召唤。这张卡通常召唤的场合，必须把自己场上3只怪兽解放在自己场上召唤或者把对方场上3只怪兽解放在对方场上召唤，召唤的这张卡的控制权在下个回合的结束阶段回归原本持有者。
①：这张卡不能攻击，不会成为对方的攻击·效果的对象。
②：把这张卡解放才能发动。从手卡·卡组把1只「太阳神之翼神龙」无视召唤条件并攻击力·守备力变成4000特殊召唤。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 特殊召唤|效果耐性
	属性: 神
	种族: 幻神兽
	攻击力: ?
	防御力: ?
	星级: 10

	卡名: 太阳神之翼神龙-不死鸟
	密码: 10000090
	描述: 这张卡不能通常召唤，用这张卡的效果才能特殊召唤。
①：这张卡在墓地存在，「太阳神之翼神龙」从场上送去自己墓地的场合发动。这张卡特殊召唤。不能对应这个效果的发动让效果发动。
②：这张卡不受其他卡的效果影响。
③：支付1000基本分才能发动。选场上1只怪兽送去墓地。
④：结束阶段发动。这张卡送去墓地，从自己的手卡·卡组·墓地把1只「太阳神之翼神龙-球体形」无视召唤条件特殊召唤。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果|特殊召唤
	效果类型: 送去墓地|特殊召唤|效果耐性
	属性: 神
	种族: 幻神兽
	攻击力: 4000
	防御力: 4000
	星级: 10

	卡名: 异虫王
	密码: 10026986
	描述: 这张卡可以用1只名字带有「异虫」的爬虫族怪兽解放表侧攻击表示上级召唤。可以把自己场上存在的1只名字带有「异虫」的爬虫族怪兽解放，对方场上1张卡破坏。
	OT: OCG|TCG
	同名卡: 
	字段: 异虫
	卡片种类: 怪兽|效果
	效果类型: 魔陷破坏|怪兽破坏|种族相关
	属性: 光
	种族: 爬虫
	攻击力: 2700
	防御力: 1100
	星级: 8

	卡名: 轮回天狗
	密码: 10028593
	描述: ①：表侧表示的这张卡从场上离开的场合发动。从卡组把1只「轮回天狗」特殊召唤。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 特殊召唤
	属性: 风
	种族: 兽战士
	攻击力: 1700
	防御力: 600
	星级: 4

	卡名: 神龙-艾克塞利翁
	密码: 10032958
	描述: 这张卡召唤时自己墓地存在的「神龙-艾克塞利翁」每有1只，得到以下的其中1个效果。但是相同的效果不能重复得到。
●这张卡攻击力上升1000。
●这张卡战斗破坏对方怪兽的场合，只有1次可以再度攻击。
●这张卡战斗破坏怪兽送去墓地时，给与对方基本分破坏怪兽的攻击力数值的伤害。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 攻守变化|多次攻击|LP伤害
	属性: 光
	种族: 龙
	攻击力: 1500
	防御力: 900
	星级: 5

	卡名: 核成城主
	密码: 10060427
	描述: 这张卡的控制者在每次自己的结束阶段从手卡把1张「核成兽的钢核」送去墓地或把手卡1只战士族怪兽给对方观看。或者都不进行让这张卡破坏。这张卡可以把1只名字带有「核成」的怪兽解放作上级召唤。这张卡召唤成功时，可以把自己墓地存在的1张名字带有「核成」的卡从游戏中除外，对方场上存在的最多2张卡破坏。
	OT: OCG|TCG
	同名卡: 
	字段: 核成
	卡片种类: 怪兽|效果
	效果类型: 魔陷破坏|怪兽破坏|卡片回收
	属性: 地
	种族: 战士
	攻击力: 2800
	防御力: 2200
	星级: 7

	卡名: 暮光道巫师 丽拉
	密码: 10071151
	描述: ①：1回合1次，魔法·陷阱卡的效果发动时，从自己的手卡·墓地把1只「光道」怪兽除外，以场上1张表侧表示的魔法·陷阱卡为对象才能发动。那张卡破坏。
②：1回合1次，这张卡以外的自己的「光道」怪兽的效果发动的场合发动。从自己卡组上面把3张卡送去墓地。
	OT: OCG|TCG
	同名卡: 
	字段: 光道
	卡片种类: 怪兽|效果
	效果类型: 魔陷破坏|卡片除外|送去墓地|卡组破坏
	属性: 暗
	种族: 魔法师
	攻击力: 1700
	防御力: 200
	星级: 4

	卡名: 虎龙
	密码: 10097168
	描述: 把龙族怪兽解放对这张卡的上级召唤成功时，可以把对方的魔法与陷阱卡区域盖放的最多2张卡破坏。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 魔陷破坏
	属性: 地
	种族: 龙
	攻击力: 2400
	防御力: 1800
	星级: 6

	卡名: 机械兔
	密码: 10110717
	描述: 这张卡被战斗破坏送去墓地时，可以从自己卡组把1只「机械兔」在自己场上里侧守备表示特殊召唤。这张卡反转时，选择场上存在的1张卡，给与那个控制者500分伤害。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 特殊召唤|LP伤害
	属性: 地
	种族: 机械
	攻击力: 800
	防御力: 100
	星级: 2

	卡名: 翼龟
	密码: 10132124
	描述: 自己场上表侧表示存在的鱼族·海龙族·水族怪兽从游戏中除外时，这张卡可以从手卡或者自己墓地特殊召唤。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 特殊召唤
	属性: 风
	种族: 水
	攻击力: 1500
	防御力: 1400
	星级: 3

	卡名: 梦幻崩界 伊娃力丝
	密码: 10158145
	描述: 这个卡名的③的效果1回合只能使用1次。
①：这张卡召唤成功时，以自己墓地1只连接怪兽为对象才能发动。那只怪兽的攻击力变成0，效果无效，在要和这张卡成为连接状态的自己场上特殊召唤。
②：只要这张卡在怪兽区域存在，这张卡的控制者不是连接怪兽不能特殊召唤。
③：这张卡从自己场上送去墓地的场合才能发动。这张卡在对方场上守备表示特殊召唤。
	OT: OCG|TCG
	同名卡: 
	字段: 幻崩
	卡片种类: 怪兽|效果
	效果类型: 特殊召唤
	属性: 暗
	种族: 电子界
	攻击力: 0
	防御力: 0
	星级: 2

	卡名: 真次世代先知
	密码: 10178757
	描述: 这张卡用名字带有「次世代」的怪兽的效果从自己卡组加入手卡的场合，这张卡可以在自己场上特殊召唤。把这张卡作为同调素材的场合，不是名字带有「次世代」的怪兽的同调召唤不能使用。
	OT: OCG|TCG
	同名卡: 
	字段: 真次世代
	卡片种类: 怪兽|效果|调整
	效果类型: 特殊召唤|同调相关
	属性: 暗
	种族: 魔法师
	攻击力: 300
	防御力: 300
	星级: 1

	卡名: 假面魔道士
	密码: 10189126
	描述: 这张卡造成对方玩家基本分伤害的时候，自己抽1张卡。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 抽卡辅助
	属性: 暗
	种族: 魔法师
	攻击力: 900
	防御力: 1400
	星级: 4

	卡名: 急袭猛禽-复仇秃鹫
	密码: 10194329
	描述: ①：自己因战斗·效果受到伤害的场合才能发动。这张卡从手卡特殊召唤。这个效果的发动后，直到回合结束时自己不是「急袭猛禽」怪兽不能从额外卡组特殊召唤。
	OT: OCG|TCG
	同名卡: 
	字段: 急袭猛禽
	卡片种类: 怪兽|效果
	效果类型: 特殊召唤
	属性: 暗
	种族: 鸟兽
	攻击力: 1700
	防御力: 100
	星级: 4

	卡名: 腐朽的武将
	密码: 10209545
	描述: 这张卡召唤成功时，可以从手卡特殊召唤1只「僵尸虎」。这张卡对对方直接攻击成功时，对方随机丢弃1张手卡。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 手卡破坏|特殊召唤
	属性: 地
	种族: 不死
	攻击力: 1000
	防御力: 1500
	星级: 4

	卡名: 忍者义贼 五卫五卫
	密码: 10236520
	描述: 对方手卡有5张以上的场合，这张卡给与对方基本分战斗伤害时，对方手卡随机丢弃2张。
	OT: OCG|TCG
	同名卡: 
	字段: 忍者
	卡片种类: 怪兽|效果
	效果类型: 手卡破坏
	属性: 风
	种族: 战士
	攻击力: 1500
	防御力: 1000
	星级: 4

	卡名: 日光独角兽
	密码: 10321588
	描述: 1回合1次，自己的主要阶段时才能发动。把自己卡组最上面的卡翻开，那是装备魔法卡的场合加入手卡。不是的场合，回到自己卡组最下面。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 卡组检索
	属性: 光
	种族: 兽
	攻击力: 1800
	防御力: 1000
	星级: 4

	卡名: 指挥骑士
	密码: 10375182
	描述: 只要自己场上有这张卡以外的怪兽存在，对方不能选择这张卡为攻击对象。只要这张卡在场上存在，自己的战士族怪兽攻击力上升400。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 攻守变化|攻击限制
	属性: 炎
	种族: 战士
	攻击力: 1200
	防御力: 1900
	星级: 4

	卡名: 死亡甜甜圈
	密码: 10389794
	描述: 反转：场上表侧表示存在的原本攻击力或者原本守备力是0的怪兽全部破坏。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果|反转
	效果类型: 怪兽破坏
	属性: 暗
	种族: 恶魔
	攻击力: 0
	防御力: 0
	星级: 1

	卡名: 航天机人
	密码: 10449150
	描述: 这张卡被选择作为攻击对象时，可以把这张卡从游戏中除外。这个效果从游戏中除外的场合，这张卡在下次的自己的准备阶段时特殊召唤。那个时候，给与对方基本分1000分伤害。
	OT: OCG
	同名卡: 
	字段: 机人
	卡片种类: 怪兽|效果
	效果类型: 卡片除外|特殊召唤|LP伤害
	属性: 风
	种族: 机械
	攻击力: 1000
	防御力: 1200
	星级: 4

	卡名: 恶魂邪苦止
	密码: 10456559
	描述: 自己场上存在的这张卡被战斗破坏送去墓地时，可以从自己卡组把「恶魂邪苦止」加入手卡。之后卡组洗切。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 卡组检索
	属性: 水
	种族: 水
	攻击力: 0
	防御力: 0
	星级: 1

	卡名: 海龙神-尼奥泰达路斯
	密码: 10485110
	描述: 这张卡不能通常召唤。自己场上存在的「海龙-泰达路斯」1只作为祭品的场合才能特殊召唤。自己场上存在的「海」送去墓地，这张卡以外的双方的手卡和场上的卡全部送去墓地。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果|特殊召唤
	效果类型: 送去墓地
	属性: 水
	种族: 海龙
	攻击力: 2900
	防御力: 1600
	星级: 8

	卡名: 古代的机械兽
	密码: 10509340
	描述: 这张卡不能特殊召唤。
①：这张卡攻击的场合，对方直到伤害步骤结束时魔法·陷阱卡不能发动。
②：这张卡战斗破坏的对方怪兽的效果无效化。
	OT: OCG|TCG
	同名卡: 
	字段: 古代的机械
	卡片种类: 怪兽|效果
	效果类型: 效果无效
	属性: 地
	种族: 机械
	攻击力: 2000
	防御力: 2000
	星级: 6

	卡名: 森罗的贤树 舍曼将军树
	密码: 10530913
	描述: 名字带有「森罗」的怪兽被送去墓地时，这张卡可以从手卡特殊召唤。1回合1次，自己的主要阶段时才能发动。自己卡组最上面的卡翻开。翻开的卡是植物族怪兽的场合，那只怪兽送去墓地。不是的场合，那张卡回到卡组最下面。此外，卡组的这张卡被卡的效果翻开送去墓地的场合，可以选择自己墓地1张名字带有「森罗」的魔法·陷阱卡加入手卡。
	OT: OCG|TCG
	同名卡: 
	字段: 森罗
	卡片种类: 怪兽|效果
	效果类型: 送去墓地|返回手卡|卡片回收|特殊召唤
	属性: 风
	种族: 植物
	攻击力: 2600
	防御力: 2100
	星级: 7

	卡名: 古代鲨 超巨齿鲨
	密码: 10532969
	描述: 这张卡给与对方基本分战斗伤害时，可以选择对方场上1只怪兽破坏。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 怪兽破坏
	属性: 水
	种族: 鱼
	攻击力: 2900
	防御力: 1300
	星级: 8

	卡名: 电子鱼人-博士
	密码: 10560119
	描述: 「电子鱼人-博士」的②的效果1回合只能使用1次。
①：自己场上有「电子鱼人」怪兽以外的怪兽存在的场合这张卡破坏。
②：这张卡在墓地存在，自己场上的怪兽只有「电子鱼人」怪兽的场合，自己主要阶段才能发动。这张卡从墓地特殊召唤。这个效果特殊召唤的这张卡从场上离开的场合除外。
	OT: OCG|TCG
	同名卡: 
	字段: 电子鱼人
	卡片种类: 怪兽|效果
	效果类型: 特殊召唤
	属性: 水
	种族: 鱼
	攻击力: 400
	防御力: 400
	星级: 4

	卡名: 变形斗士·显微镜
	密码: 10591919
	描述: 这张卡得到这张卡的表示形式的以下效果。
●攻击表示：1回合1次，可以从手卡把1只4星的名字带有「变形斗士」的怪兽特殊召唤。这个效果特殊召唤的怪兽在结束阶段时破坏。
●守备表示：只要这张卡在场上表侧守备表示存在，这张卡的等级变成4星。
	OT: OCG|TCG
	同名卡: 
	字段: 变形斗士
	卡片种类: 怪兽|效果|调整
	效果类型: 特殊召唤
	属性: 光
	种族: 机械
	攻击力: 800
	防御力: 1400
	星级: 3

	卡名: 机怪虫·郎飞结虫
	密码: 10698416
	描述: 这个卡名的①②的效果1回合各能使用1次。
①：这张卡反转的场合，以自己墓地最多2只「机怪虫」怪兽为对象才能发动。那些怪兽加入手卡。
②：表侧表示的这张卡因对方的效果从场上离开的场合才能发动。「机怪虫·郎飞结虫」以外的2只「机怪虫」怪兽从卡组里侧守备表示特殊召唤（同名卡最多1张）。
	OT: OCG|TCG
	同名卡: 
	字段: 机怪虫
	卡片种类: 怪兽|效果|反转
	效果类型: 返回手卡|特殊召唤
	属性: 地
	种族: 昆虫
	攻击力: 1100
	防御力: 900
	星级: 2

	卡名: 控件小子
	密码: 10705656
	描述: 这个卡名的效果1回合只能使用1次。
①：这张卡召唤·特殊召唤成功的场合才能发动。从手卡把1只电子界族怪兽守备表示特殊召唤。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 特殊召唤
	属性: 地
	种族: 电子界
	攻击力: 1500
	防御力: 900
	星级: 3

	卡名: 斯蒂格马大日
	密码: 10712320
	描述: 1回合1次，可以把自己场上表侧表示存在的1张名字带有「大日」的装备卡转换给1只别的能变成正确对象的怪兽。这个效果在对方回合也能发动。
	OT: OCG|TCG
	同名卡: 
	字段: 大日
	卡片种类: 怪兽|效果
	效果类型: 
	属性: 光
	种族: 天使
	攻击力: 1600
	防御力: 1000
	星级: 4

	卡名: 湖中少女 薇薇安
	密码: 10736540
	描述: 把这张卡作为同调素材的场合，不是战士族怪兽的同调召唤不能使用，被同调召唤使用的这张卡除外。
①：这张卡召唤成功时，以自己墓地1只「圣骑士」通常怪兽为对象才能发动。那只怪兽特殊召唤。
②：这张卡在墓地存在的场合，以自己场上1只5星的「圣骑士」怪兽为对象才能发动。那只怪兽的等级下降1星，这张卡从墓地特殊召唤。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果|调整
	效果类型: 卡片回收|特殊召唤
	属性: 光
	种族: 水
	攻击力: 200
	防御力: 1800
	星级: 1

	卡名: 森罗的神芽 幼芽
	密码: 10753491
	描述: 这张卡特殊召唤成功时，可以从自己卡组上面把最多2张卡翻开。翻开的卡之中有植物族怪兽的场合，那些怪兽全部送去墓地。剩下的卡用喜欢的顺序回到卡组最下面。此外，卡组的这张卡被卡的效果翻开送去墓地的场合，可以从卡组把1只植物族·1星怪兽特殊召唤。「森罗的神芽 幼芽」的这个效果1回合只能使用1次。
	OT: OCG|TCG
	同名卡: 
	字段: 森罗|幼芽
	卡片种类: 怪兽|效果
	效果类型: 送去墓地|特殊召唤
	属性: 光
	种族: 植物
	攻击力: 100
	防御力: 100
	星级: 1

	卡名: 守护者·希尔
	密码: 10755153
	描述: 当自己场上存在「流星之弓-烨焰」时才能召唤·反转召唤·特殊召唤。将1张这张卡身上装备的自己的装备卡送去墓地，破坏对方场上1只怪兽。
	OT: OCG|TCG
	同名卡: 
	字段: 守护者
	卡片种类: 怪兽|效果
	效果类型: 怪兽破坏
	属性: 炎
	种族: 炎
	攻击力: 1700
	防御力: 1400
	星级: 4

	卡名: 由魔界到现世的死亡导游
	密码: 10802915
	描述: ①：这张卡召唤成功时才能发动。从手卡·卡组把1只恶魔族·3星怪兽特殊召唤。这个效果特殊召唤的怪兽效果无效化，不能作为同调素材。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 特殊召唤|种族相关
	属性: 暗
	种族: 恶魔
	攻击力: 1000
	防御力: 600
	星级: 3

	卡名: 世纪大盗
	密码: 10809984
	描述: 每当这张卡给与对方战斗伤害时，宣言1张卡的名字。检视对方手卡，若其中有被宣言名字的卡，则将其全部扔进墓地。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 手卡破坏
	属性: 地
	种族: 魔法师
	攻击力: 1000
	防御力: 1000
	星级: 3

	卡名: 平衡侵略者
	密码: 10852583
	描述: ①：这张卡在中央以外的主要怪兽区域召唤·特殊召唤的场合破坏。
②：1回合1次，自己主要阶段才能发动。这张卡向相邻的没有使用的主要怪兽区域移动。
③：每次对方场上只有怪兽1只召唤·特殊召唤发动。那只对方怪兽的位置是和这张卡不同纵列的场合，这张卡向要往那只对方怪兽靠近的相邻的主要怪兽区域移动。那之后，和移动过的这张卡相同纵列的其他卡全部破坏。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 魔陷破坏|怪兽破坏
	属性: 暗
	种族: 爬虫
	攻击力: 2200
	防御力: 0
	星级: 5

	卡名: 武神器-五百箇
	密码: 10860121
	描述: 「武神器-五百箇」的效果1回合只能使用1次。
①：自己场上的兽战士族的「武神」怪兽被战斗破坏送去墓地时，把这张卡从手卡送去墓地才能发动。从卡组把1只「武神」怪兽特殊召唤。
	OT: OCG|TCG
	同名卡: 
	字段: 武神
	卡片种类: 怪兽|效果
	效果类型: 特殊召唤
	属性: 光
	种族: 鸟兽
	攻击力: 1700
	防御力: 800
	星级: 4

	卡名: 地缚神 阿斯利亚·皮斯科
	密码: 10875327
	描述: 名字带有「地缚神」的怪兽在场上只能有1只表侧表示存在。场上没有表侧表示场地魔法卡存在的场合这张卡破坏。对方不能选择这张卡作为攻击对象。这张卡可以直接攻击对方玩家。这张卡的效果以外让这张卡从场上离开时，对方场上表侧表示存在的怪兽全部破坏，破坏的怪兽每有1只给与对方基本分800分伤害。
	OT: OCG|TCG
	同名卡: 
	字段: 地缚神
	卡片种类: 怪兽|效果
	效果类型: 直接攻击|LP伤害
	属性: 暗
	种族: 鸟兽
	攻击力: 2500
	防御力: 2500
	星级: 10

	卡名: 亚马逊宠物仔虎
	密码: 10928224
	描述: 这个卡名的②的效果1回合只能使用1次。
①：这张卡的卡名只要在场上·墓地存在当作「亚马逊宠物虎」使用。
②：这张卡在手卡·墓地存在，自己场上有「亚马逊」怪兽召唤·特殊召唤的场合才能发动。这张卡特殊召唤。
③：这张卡的攻击力上升自己墓地的「亚马逊」卡数量×100。
	OT: OCG|TCG
	同名卡: 
	字段: 亚马逊
	卡片种类: 怪兽|效果
	效果类型: 攻守变化|特殊召唤
	属性: 地
	种族: 兽
	攻击力: 500
	防御力: 500
	星级: 2

	卡名: 豪雨之结界像
	密码: 10963799
	描述: 只要这张卡在场上表侧表示存在，不能作水属性怪兽以外的特殊召唤。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 
	属性: 水
	种族: 水
	攻击力: 1000
	防御力: 1000
	星级: 4

	卡名: 亚马逊宠物虎
	密码: 10979723
	描述: 这张卡在自己的场上只能表侧表示存在1张。自己场上每存在1张名称中含有「亚马逊」字样的怪兽卡，这张卡的攻击力上升400点。对方不破坏这张卡，就不能攻击场上其他名称中含有「亚马逊」字样的怪兽。
	OT: OCG|TCG
	同名卡: 
	字段: 亚马逊
	卡片种类: 怪兽|效果
	效果类型: 攻守变化
	属性: 地
	种族: 兽
	攻击力: 1100
	防御力: 1500
	星级: 4

	卡名: 朱罗纪瓜巴龙
	密码: 11012887
	描述: 这张卡战斗破坏对方怪兽的场合，可以从自己卡组把1只攻击力1700以下的名字带有「朱罗纪」的怪兽特殊召唤。这个效果特殊召唤的怪兽在这个回合不能攻击宣言。
	OT: OCG|TCG
	同名卡: 
	字段: 朱罗纪
	卡片种类: 怪兽|效果
	效果类型: 特殊召唤
	属性: 炎
	种族: 恐龙
	攻击力: 1700
	防御力: 400
	星级: 4

	卡名: 招财猫王
	密码: 11021521
	描述: 对方回合中，当这张卡被对方的魔法、陷阱或效果怪兽的效果送去墓地时，对方的回合立刻结束。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 
	属性: 地
	种族: 兽
	攻击力: 0
	防御力: 0
	星级: 1

	卡名: 魔晶龙 水胆魔导神
	密码: 11074235
	描述: 这个卡名的效果1回合只能使用1次。
①：这张卡在手卡·墓地存在，自己场上的魔法·陷阱卡因对方的效果从场上离开，被送去墓地的场合或者被除外的场合才能发动。这张卡特殊召唤。那之后，可以从自己墓地的卡以及除外的自己的卡之中选1张魔法·陷阱卡在自己的魔法与陷阱区域盖放。这个效果特殊召唤的这张卡从场上离开的场合除外。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 特殊召唤
	属性: 暗
	种族: 龙
	攻击力: 2200
	防御力: 1200
	星级: 6

	卡名: 枪兵龙人
	密码: 11125718
	描述: ①：这张卡向守备表示怪兽攻击的场合，给与攻击力超过那个守备力的数值的战斗伤害。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 穿刺伤害
	属性: 暗
	种族: 龙
	攻击力: 1500
	防御力: 1800
	星级: 4

	卡名: 霍普异虫
	密码: 11159464
	描述: 反转：被对方怪兽的攻击反转的场合，从自己卡组抽1张卡。此外，这张卡从场上送去墓地时，自己把1张手卡送去墓地。
	OT: OCG|TCG
	同名卡: 
	字段: 异虫|霍普
	卡片种类: 怪兽|效果|反转
	效果类型: 手卡破坏|抽卡辅助
	属性: 光
	种族: 爬虫
	攻击力: 800
	防御力: 1500
	星级: 1

	卡名: 荷鲁斯之黑炎龙 LV6
	密码: 11224103
	描述: 只要这张卡在自己场上表侧表示存在，不会受到魔法效果的影响。这张卡战斗破坏怪兽的回合的结束阶段时，可以把这张卡送去墓地，从手卡·卡组特殊召唤1只「荷鲁斯之黑炎龙 LV8」
	OT: OCG|TCG
	同名卡: 
	字段: LV
	卡片种类: 怪兽|效果
	效果类型: 卡组检索|特殊召唤|效果耐性
	属性: 炎
	种族: 龙
	攻击力: 2300
	防御力: 1600
	星级: 6

	卡名: 超能破坏者
	密码: 11232355
	描述: 支付1000基本分发动。对方场上盖伏的1张魔法·陷阱卡破坏。自己场上没有这张卡以外的念动力族怪兽存在的场合，结束阶段时这张卡破坏。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|效果
	效果类型: 魔陷破坏|种族相关
	属性: 地
	种族: 念动力
	攻击力: 1600
	防御力: 400
	星级: 4

	卡名: 科技属 螺旋桨蛇
	密码: 11234702
	描述: 这个卡名的①②的效果1回合各能使用1次。
①：这张卡召唤·特殊召唤成功的场合，以「科技属 螺旋桨蛇」以外的自己墓地1只4星以下的「科技属」怪兽为对象才能发动。那只怪兽效果无效特殊召唤。
②：把墓地的这张卡除外，以自己场上1只「科技属」怪兽为对象才能发动。那只怪兽的等级直到回合结束时上升或者下降1星。
	OT: OCG
	同名卡: 
	字段: 科技属
	卡片种类: 怪兽|效果|调整
	效果类型: 特殊召唤
	属性: 水
	种族: 海龙
